Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
01-04-2019,Uttar Pradesh,9,Farrukhabad,141,2956.19,4338.44,2771.11,4065.38
01-12-2019,Uttar Pradesh,9,Saharanpur,177,5555.23,8196.3,5308.59,7828.91
01-11-2017,Tamil Nadu,33,Ramanathapuram,583,14352.94,514.47,4624.43,123.19
01-09-2020,Kerala,32,Thrissur,566,6141.43,1404.8,6031.98,1337.92
01-03-2018,West Bengal,19,24 Paraganas South,304,12591.54,18667.57,12488.06,18273.67
01-12-2018,Haryana,6,Faridabad,60,0,1223.79,0,1245.43
01-01-2019,Assam,18,Nalbari,298,3394.45,123.5,3394.45,123.5
01-07-2020,Andhra Pradesh,28,Vizianagaram,521,8207.86,0,6182.19,0
01-06-2018,Bihar,10,Purbi Champaran,213,13750.36,9177.4,13750.36,9166.95
01-08-2019,Maharashtra,27,Solapur,496,9438.8,14645.73,4564.12,7111.44
01-11-2020,Telangana,36,Jogulamba Gadwal,695,1976.05,0,1777.45,0
01-09-2018,West Bengal,19,Medinipur West,318,6938.96,10196.16,6785.32,10196.16
01-06-2018,Telangana,36,Bhadradri Kothagudem,690,3336.42,0,2815.79,0
01-12-2020,Gujarat,24,Mahesana,451,1982.8,4648.01,1875.7,4397.08
01-12-2020,Telangana,36,Mahabubabad,688,2669.82,0,1949.11,0
01-08-2019,Rajasthan,8,Rajsamand,112,0,4509.37,0,4355.03
01-09-2019,Andhra Pradesh,28,Y.S.R.,504,22.28,0,22.01,0
01-09-2020,Madhya Pradesh,23,Harda,408,391.46,1630.01,350.44,1456.78
01-09-2018,Andhra Pradesh,28,Krishna,510,13465.81,0,12434.73,0
01-08-2019,Andhra Pradesh,28,Chittoor,503,13079.38,0,12272.61,0
01-12-2017,Telangana,36,Medchal Malkajgiri,700,6165.94,356.99,5266.19,153.46
01-09-2017,Tamil Nadu,33,Namakkal,580,13.63,1.01,0,0
01-12-2017,Gujarat,24,Amreli,439,2448.89,3811.18,44.72,44.72
01-08-2020,Nagaland,13,Longleng,615,234.77,0,208.67,0
01-04-2020,Madhya Pradesh,23,Burhanpur,397,695.25,2889.17,625.37,2599.03
01-03-2019,Odisha,21,Bhadrak,348,5079.71,1362.02,4930.92,1287.22
01-08-2019,Andhra Pradesh,28,West Godavari,523,12863.61,0,12030.65,0
01-12-2019,Kerala,32,Alappuzha,554,5001.63,1149.56,4768.31,1088.23
01-02-2018,Odisha,21,Nabarangpur,366,6315.69,52.2,6102.67,47.56
01-11-2021,Gujarat,24,Morbi,673,903.27,2119.34,835.03,1957.15
01-03-2018,Madhya Pradesh,23,Neemuch,419,559.63,2341.46,511.42,2139.9
01-02-2020,Telangana,36,Medak,513,2544.4,0,2294.37,0
01-11-2019,Uttar Pradesh,9,Pratapgarh,174,5515.58,66225.13,4888.41,7158.95
01-10-2021,Jammu And Kashmir,1,Samba,624,163.74,679.31,144.08,597.48
01-02-2019,Gujarat,24,Surat,459,2474.03,5828.25,2018.76,4758.41
01-09-2017,Jharkhand,20,Dhanbad,325,8.32,1.58,5.57,0.91
01-06-2020,Madhya Pradesh,23,Alirajpur,639,792.34,3237.85,660.39,2717.43
01-10-2021,Rajasthan,8,Jaisalmer,103,0,2095.78,0,2066.76
01-12-2017,Jharkhand,20,Palamu,338,8635.38,1075.01,6968.15,909.96
01-07-2020,Nagaland,13,Peren,613,318.02,0,312.83,0
01-09-2020,Rajasthan,8,Bundi,94,0,4028.39,0,4004.85
01-08-2019,Punjab,3,Rupnagar,42,0,10133.3,0,52.78
01-12-2018,Madhya Pradesh,23,Shahdol,429,2171.8,3261.44,2071.6,3116.85
01-03-2019,Haryana,6,Jhajjar,64,0,1759.43,0,1683.27
01-09-2018,Karnataka,29,Bengaluru Urban,525,27766.96,0,13318.03,0
01-05-2020,Tamil Nadu,33,Vellore,595,11261.07,378.4,11880.75,475.75
01-03-2018,Chhattisgarh,22,Mungeli,647,7828.3,0,6300.57,0
01-09-2019,Odisha,21,Jagatsinghpur,355,3200.7,1365.48,3111.93,1319.55
01-07-2019,Uttar Pradesh,9,Sambhal,659,3233.1,4792.02,3015.32,4466.06
01-10-2019,Bihar,10,Bhagalpur,192,16730.25,11153.48,7373,4915.33
01-05-2019,Telangana,36,Medchal Malkajgiri,700,5508.44,0,5344.36,0
01-07-2018,Odisha,21,Cuttack,350,7135.58,2691.7,6994.88,2628.81
01-02-2018,Jammu And Kashmir,1,Kupwara,8,2928.61,0,0.09,0
01-10-2019,Odisha,21,Kendrapara,360,4317.11,1711.3,82.96,45.13
01-08-2020,Bihar,10,Arwal,611,1364.9,909.89,1480.28,986.82
01-10-2021,Gujarat,24,Patan,455,1623.5,3823.99,1546.68,3638.39
01-01-2019,Madhya Pradesh,23,Dindori,404,3835.05,2623.7,2286.2,1563.9
01-05-2019,Uttar Pradesh,9,Shamli,660,1938.08,2870.2,1795.55,2656.23
01-02-2020,Odisha,21,Nayagarh,367,3638.15,638.24,6590.55,1164.18
01-03-2018,Telangana,36,Wanaparthy,693,2336.03,8.18,2032.66,0.18
01-06-2019,Bihar,10,Sheohar,220,1776.37,1184.25,1776.37,1184.25
01-03-2020,Chhattisgarh,22,Kabirdham,382,0,0,4125.23,0
01-05-2020,Uttar Pradesh,9,Firozabad,143,3726.18,5507.96,3654.05,5401.91
01-11-2018,Maharashtra,27,Sangli,493,6769.61,9792.27,3425.69,5044.98
01-03-2018,Meghalaya,17,Ri Bhoi,276,973.94,0,973.94,0
01-12-2020,Tamil Nadu,33,Dindigul,572,7523,671,5944.52,381.85
01-09-2021,Karnataka,29,Kolar,542,0,0,0,0
01-04-2019,Tripura,16,Gomati,654,2160.57,0,1642.34,0
01-02-2019,Madhya Pradesh,23,Harda,408,442,1853.17,360.17,1518.37
01-04-2020,Telangana,36,Peddapalli,682,2294.48,0,2196.6,0
01-05-2019,Assam,18,Kamrup Metro,618,3491.18,0,3491.18,0
01-02-2019,Haryana,6,Faridabad,60,0,3426.51,0,3165.08
01-12-2017,Uttar Pradesh,9,Sant Kabeer Nagar,178,2987.06,4346.98,157.65,229.59
01-06-2018,Madhya Pradesh,23,Singrauli,638,2905.47,4603.17,2376.99,3815.61
01-01-2020,Uttar Pradesh,9,Siddharth Nagar,182,4486,6522.73,4122.42,5986.22
01-06-2018,Gujarat,24,Patan,455,1585.54,3736.7,1421.77,3352.79
01-03-2020,Delhi,7,North West,82,1328.49,5128.08,1327.84,5122.46
01-09-2021,Gujarat,24,Morbi,673,951.73,2233.07,840.69,1972.23
01-11-2017,Chhattisgarh,22,Korea,384,2768.55,0,2671.43,0
01-06-2018,Manipur,14,Bishnupur,252,1017.63,0,1017.63,0
01-04-2020,Arunachal Pradesh,12,East Siang,232,250.01,0,250.01,0
01-10-2020,Chhattisgarh,22,Kabirdham,382,4170.9,0,4094.23,0
01-09-2021,Gujarat,24,Sabar Kantha,458,1694.79,4002.31,1554.8,3651.65
01-11-2018,West Bengal,19,Murshidabad,319,12802.5,18915.92,12686.88,17961.79
01-09-2018,Tamil Nadu,33,Salem,584,9745.39,313.56,8595.41,290.99
01-09-2019,Andhra Pradesh,28,Chittoor,503,5.87,0,5.87,0
01-12-2020,Madhya Pradesh,23,East Nimar,405,1852.59,3456.68,1750.05,3271.18
01-02-2019,Bihar,10,Patna,212,21633.66,14422.23,16361.99,10907.78
01-11-2021,Telangana,36,Jogulamba Gadwal,695,1978.98,0,1849.68,0
01-10-2019,Haryana,6,Hisar,63,0,8748.44,0,3811.13
01-08-2019,Meghalaya,17,West Jaintia Hills,275,1065.56,0,1065.56,0
01-07-2018,Daman & Diu,25,Diu,464,69.15,81.64,37.05,43.69
01-06-2018,Odisha,21,Kendrapara,360,4315.33,1702.7,4239.65,1674.03
01-04-2019,Uttar Pradesh,9,Siddharth Nagar,182,4401.81,6396.45,4246.63,6183.25
01-11-2019,Chhattisgarh,22,Surajpur,648,3777.97,0,3715.36,0
01-08-2019,Uttar Pradesh,9,Jaunpur,152,7525.46,10974.5,7288.2,10618.68
01-04-2020,Maharashtra,27,Aurangabad,469,4708.13,7389.8,4422.77,6945.44
01-08-2019,Gujarat,24,Narmada,452,761.82,1821.24,727.2,1738.92
